Original Prediction,Prediction 1,Prediction 2,Prediction 3,Iter Num,Averaged NC,L2 Distance
beaker,beaker,beaker,beaker,19,0,0
pretzel,pretzel,pretzel,pretzel,19,0,0
parachute,parachute,parachute,parachute,19,0,0
Tibetan_mastiff,Tibetan_mastiff,Tibetan_mastiff,chow,0,0.18765927192260684,51223.70222855821
rotisserie,rotisserie,rotisserie,rotisserie,19,0,0
loudspeaker,loudspeaker,loudspeaker,loudspeaker,19,0,0
acorn,acorn,acorn,fire_screen,0,0.27426005959466043,32763.26918974967
safety_pin,safety_pin,safety_pin,safety_pin,19,0,0
mousetrap,mousetrap,mousetrap,window_screen,1,0.32291678316650557,79981.39236097356
crash_helmet,crash_helmet,crash_helmet,crash_helmet,19,0,0
standard_poodle,miniature_poodle,standard_poodle,standard_poodle,0,0.4494779475790668,90796.86659241056
pick,pick,pick,pick,19,0,0
trifle,trifle,corn,trifle,0,0.5502025100056719,5153.287979533067
football_helmet,football_helmet,football_helmet,syringe,0,0.5696179071569513,37620.33136483516
barn,barn,barn,barn,19,0,0
balloon,balloon,balloon,balloon,19,0,0
toilet_seat,toilet_seat,toilet_seat,lighter,2,0.6150232866535121,53801.38395060112
stinkhorn,stinkhorn,stinkhorn,beacon,0,0.631128224382684,36982.188442546234
fire_screen,fire_screen,fire_screen,fire_screen,19,0,0
ambulance,ambulance,ambulance,ambulance,19,0,0
Norwich_terrier,West_Highland_white_terrier,West_Highland_white_terrier,Norwich_terrier,2,0.6569744126410979,80340.6943584632
drilling_platform,drilling_platform,drilling_platform,drilling_platform,19,0,0
bassinet,bassinet,bassinet,bassinet,19,0,0
disk_brake,disk_brake,disk_brake,disk_brake,19,0,0
bullfrog,jellyfish,bubble,beer_glass,1,0.6830314988935844,47800.33064739197
barracouta,barracouta,barracouta,barracouta,19,0,0
tree_frog,tree_frog,tree_frog,fire_screen,1,0.690561515909218,45546.90935727692
gasmask,gasmask,gasmask,gasmask,19,0,0
marmot,marmot,marmot,meerkat,2,0.6953818132434354,53632.750209177226
volcano,volcano,volcano,volcano,19,0,0
unicycle,unicycle,unicycle,spotlight,2,0.733394578962925,54940.35828969447
ice_bear,ice_bear,ice_bear,ice_bear,19,0,0
Pekinese,Pekinese,Pekinese,Pekinese,19,0,0
tusker,tusker,tusker,tusker,19,0,0
go-kart,go-kart,go-kart,go-kart,19,0,0
bittern,bittern,bittern,bittern,19,0,0
pinwheel,pinwheel,pinwheel,lighter,2,0.7554653735850262,39000.20365331443
dishwasher,dishwasher,dishwasher,rotisserie,0,0.7656507880714817,26999.074391541646
platypus,platypus,platypus,platypus,19,0,0
box_turtle,box_turtle,box_turtle,box_turtle,19,0,0
bucket,bucket,bucket,bucket,19,0,0
standard_poodle,miniature_poodle,miniature_poodle,standard_poodle,0,0.7692951693175373,82334.2250464532
torch,torch,torch,torch,19,0,0
prison,prison,electric_fan,prison,0,0.7747481606339721,83248.53220327671
safety_pin,safety_pin,safety_pin,safety_pin,19,0,0
Norfolk_terrier,Norfolk_terrier,Norfolk_terrier,Norfolk_terrier,19,0,0
vending_machine,vending_machine,vending_machine,vending_machine,19,0,0
yellow_lady's_slipper,yellow_lady's_slipper,yellow_lady's_slipper,lemon,5,0.7808130756756325,37528.07345175076
buckeye,buckeye,buckeye,buckeye,19,0,0
drilling_platform,drilling_platform,drilling_platform,drilling_platform,19,0,0
Weimaraner,Weimaraner,Weimaraner,Weimaraner,19,0,0
slide_rule,slide_rule,slide_rule,slide_rule,19,0,0
lacewing,lacewing,lacewing,lacewing,19,0,0
dung_beetle,dung_beetle,dung_beetle,dung_beetle,19,0,0
gondola,gondola,gondola,gondola,19,0,0
lakeside,lakeside,lakeside,volcano,5,0.7940501202278337,14324.607813130522
prayer_rug,prayer_rug,prayer_rug,hourglass,1,0.7976960991859657,34477.10070467063
English_springer,English_springer,English_setter,English_springer,6,0.8020898073958092,59680.407739894006
bubble,bubble,bubble,bubble,19,0,0
menu,menu,menu,menu,19,0,0
ice_cream,trifle,ice_cream,ice_cream,1,0.8053603240160091,14404.855743810835
